FOLD,PNN_R2,RIDGE_R2,DELTA_R2,PNN_RMSE,RIDGE_RMSE,DELTA_RMSE_PNN_minus_RIDGE
1,0.498910510745427,0.539674143470403,0.0407636327249756,0.0628870387619676,0.0602748562693866,0.00261218249258099
2,0.413395154765936,0.441724895886259,0.0283297411203224,0.0519620532857122,0.0506917881983455,0.0012702650873667
3,0.666843322026875,0.672540357562071,0.00569703553519618,0.0413405461968429,0.0409855568930697,0.000354989303773194
4,0.681073643334703,0.784210803356567,0.103137160021864,0.054702381056304,0.0449962036574031,0.00970617739890091
5,0.871306665703928,0.770973607656071,-0.100333058047857,0.0332075848847273,0.0442998270743421,-0.0110922421896148
