seed,R2_popA,RMSE_popA,bias_popA,R2_popB,RMSE_popB,bias_popB,R2_WA,deploy_model,n_popA,n_popB,path
7,-3.93249036265928,0.480641897805511,0.441759408639245,-7.44067791112466,0.536556241578561,0.510377027960719,0.266812939991205,ridge_stacker,329,236,AUTHORITATIVE_DEPLOY_FUNC
42,-4.03902630902206,0.485804816199039,0.448877050121652,-7.574986004683,0.5408082362008,0.514880519696667,0.266812939991205,ridge_stacker,329,236,AUTHORITATIVE_DEPLOY_FUNC
123,-5.02827290225728,0.53135522498207,0.492209558710783,-9.26245048963693,0.591632638378431,0.565639904688043,0.266812939991205,ridge_stacker,329,236,AUTHORITATIVE_DEPLOY_FUNC
