MODEL,TYPE,CV_R2_MEAN,CV_R2_STD,CV_RMSE_MEAN,CV_RMSE_STD,HOLDOUT_R2
pnn,base,0.626305859315374,0.177643416799999,0.0488199208371108,0.0116409430477769,NaN
mlffnn,base,-5.63946196053393,3.44056659844057,0.213926462398511,0.078962262099688,NaN
dffnn,base,-9.43957336577705,10.6772938342338,0.246653906086101,0.137494043430607,NaN
cnn1d,base,-8.69155804159065,11.057307050843,0.232968250988035,0.140187143332231,NaN
direct_ridge,post_hoc,0.62646878672767,0.158312841754847,0.0493080294930496,0.00805627004662756,NaN
ridge_stacker,meta_nested_cv,0.641824761586274,0.148636605688958,0.0482496464185094,0.00757500309761342,0.266812939991205
icnn,meta_nested_cv,0.157169430610541,0.512470736047093,0.0755614278634391,0.0312447882702799,0.118701113938666
hybrid_icnn,meta_nested_cv,0.211229489702093,0.467999915639962,0.0710731582681465,0.0308850315769891,-0.231868234774094
