DEPTH,ROW_ID,NU_MEAS,NU_PRED,G_MEAS_GPa,G_PRED_GPa,K_MEAS_GPa,K_PRED_GPa,E_MEAS_GPa,E_PRED_GPa,VPVS_MEAS,VPVS_PRED,NU_PRED_VALID,VPVS_PRED_VALID,G_PRED_VALID,K_PRED_VALID,E_PRED_VALID,ALL_GATES_VALID
2675.3048,3,0.0122260240318895,-1.10281354784802,8.47277400743541,13.07816508516,5.8608855526067,-0.279635884359456,17.1527246921342,-2.68922510349479,1.42304776346781,1.14540448905815,0,0,1,0,0,0
2675.4572,4,0.0395664661225821,-1.12240830690929,8.2078720135496,13.0876649783901,6.17724229862014,-0.329148321167191,17.0652570070244,-3.20407782280137,1.44427596666413,1.14375863992191,0,0,1,0,0,0
2675.6096,5,0.0442633902378425,-1.16102184546677,8.11309147279295,13.077564313494,6.19671115962502,-0.422585961309733,16.944408813377,-4.21154707993824,1.44814534442964,1.14062242693349,0,0,1,0,0,0
2675.762,6,0.0364832549421444,-1.28743563953868,8.03342553697509,13.048967237757,5.98792538254468,-0.699463551831156,16.6530220977986,-7.50147648660792,1.44177310301224,1.13125167476122,0,0,1,0,0,0
2675.9144,7,0.0660283747691365,-1.07517826875259,7.90112228247814,12.9073008135239,6.46956318181834,-0.205341526242621,16.8456410912848,-1.9406970588592,1.46702047014482,1.14779109131481,0,0,1,0,0,0
2676.0668,8,0.0816472105007643,-0.908948506977506,7.90112228247814,12.8013735639891,6.80942583323648,0.275757457888535,17.0924537533358,2.33116835147979,1.48160842935241,1.16399079598903,0,0,1,1,1,0
2676.2192,9,0.0819010479530596,-0.811257434784813,8.03342553697509,12.770825408636,6.92927791738834,0.612744755173827,17.3827430142124,4.82079669508248,1.48185328190506,1.17529288969266,0,0,1,1,1,0
2676.3716,10,0.0808845614518198,-0.781993829260358,8.24458849375216,13.0072391466973,7.08750509508738,0.737304224493881,17.8228968368401,5.67131679653249,1.4808743169188,1.17899002452194,0,0,1,1,1,0
2676.524,11,0.0716412191218448,-0.785987705887882,8.46670903114325,13.2123832375738,7.06049445240246,0.732928843828358,18.1465487761686,5.65522489472333,1.47215686267124,1.17847622178336,0,0,1,1,1,0
2676.6764,12,0.060170244233756,-0.738820704638077,8.73392926993476,13.2962112521203,7.01745149180569,0.934408848891656,18.5189038544542,6.9453901716241,1.46178092986118,1.18474033326105,0,0,1,1,1,0
