DEPTH,ROW_ID,NU_PRED,VPVS_PRED,G_PRED_GPa,K_PRED_GPa,E_PRED_GPa,NU_VALID,VPVS_VALID,G_VALID,K_VALID,E_VALID,ALL_GATES_VALID
2675.3048,3,0.0542068623885408,1.45657009742077,8.08726729017254,6.37489450895719,17.0513053505405,1,1,1,1,1,1
2675.4572,4,0.0525977370327627,1.45518470270347,8.08527327837708,6.34070727885016,17.0210807122224,1,1,1,1,1,1
2675.6096,5,0.054749604201114,1.45703933659017,8.01434665639401,6.3283709148236,16.9062579275242,1,1,1,1,1,1
2675.762,6,0.0582383706054923,1.46007948979894,7.83324320069547,6.25483516425083,16.5788770425211,1,1,1,1,1,1
2675.9144,7,0.0706451795378332,1.47123689149305,7.85589948679833,6.52986024272475,16.8217618329488,1,1,1,1,1,1
2676.0668,8,0.0816239253684295,1.48158598127977,7.90136171010883,6.80910659639556,17.0926037372874,1,1,1,1,1,1
2676.2192,9,0.0888076799485123,1.48861547018593,7.96060599157463,7.02637064458895,17.3351378813412,1,1,1,1,1,1
2676.3716,10,0.0824282010019609,1.48236259712915,8.22804180227322,7.10956735039264,17.8125289716071,1,1,1,1,1,1
2676.524,11,0.0755346689333662,1.4757887738302,8.42508722547633,7.11599019329168,18.1229467995748,1,1,1,1,1,1
2676.6764,12,0.0720197846260345,1.4725074884767,8.6071471947249,7.18649425875217,18.4540641638671,1,1,1,1,1,1
2676.8288,13,0.0583560845231142,1.46018279346067,8.90552849409147,7.1137402307757,18.8504405352313,1,1,1,1,1,1
2676.9812,14,0.0526639201294283,1.45524151317452,9.279373550848,7.27868983964449,19.536123476762,1,1,1,1,1,1
2677.5908,18,0.0558799495837187,1.45801979484085,10.0831371936205,7.99076914876694,21.2931647832914,1,1,1,1,1,1
2677.7432,19,0.0563513395428567,1.45842995764969,10.2359341685123,8.12410339842552,21.6254855407608,1,1,1,1,1,1
2677.8956,20,0.0505646498930096,1.45344661408085,10.3166941675545,8.03849704123926,21.6767083923802,1,1,1,1,1,1
2678.048,21,0.0419817604188306,1.44625709404188,10.2582350310542,7.7790888897222,21.377787592896,1,1,1,1,1,1
2678.5052,24,0.0740830120732616,1.47442791563544,8.32191921301748,6.99544144979855,17.8768641090963,1,1,1,1,1,1
2678.6576,25,0.0829053581186426,1.48282456686683,8.0151017831935,6.93655251938035,17.359193333773,1,1,1,1,1,1
2678.81,26,0.0950437192395694,1.49489169697053,7.59113052414829,6.84240101736979,16.6252396047927,1,1,1,1,1,1
2678.9624,27,0.099922382526546,1.49991916197258,7.2487310359878,6.64291224433623,15.9460830227956,1,1,1,1,1,1
2679.1148,28,0.103164433014955,1.50331889781798,7.08741502282661,6.56744239148373,15.6371683503964,1,1,1,1,1,1
2679.2672,29,0.110110419408684,1.51076615258122,6.90656754931423,6.55489227421398,15.3341051976873,1,1,1,1,1,1
2679.4196,30,0.103742142253195,1.50392972942985,6.99272379784386,6.49254333924882,15.4363278896342,1,1,1,1,1,1
2679.572,31,0.0924004636398334,1.49221118862679,7.45555177616024,6.66049843080257,16.2888964339365,1,1,1,1,1,1
2679.7244,32,0.0650183398353325,1.46610836904762,8.26081514803249,6.74198511519894,17.5958392692883,1,1,1,1,1,1
2679.8768,33,0.0850313886772158,1.48489407398282,9.58734486989749,8.35611002380178,20.8051402358245,1,1,1,1,1,1
2680.7912,39,0.0757141469724416,1.47595758512791,7.60398610858255,6.42626142416057,16.3594308607684,1,1,1,1,1,1
2680.9436,40,0.0682173704936516,1.46900989652839,7.67886861802766,6.33243078266316,16.4054016870315,1,1,1,1,1,1
2681.096,41,0.0500493599585215,1.4530082590687,8.12985316217323,6.32421007239802,17.0734942189935,1,1,1,1,1,1
2681.2484,42,0.0519220408919613,1.45460553010964,8.59758901530069,6.72799096666775,18.0879867674508,1,1,1,1,1,1
2681.4008,43,0.0820896692908015,1.48203539314511,9.24538319114443,7.97964930482794,20.0086672795444,1,1,1,1,1,1
2681.5532,44,0.0822628350981733,1.48220270735981,8.90988508536404,7.69450131412272,19.28567498577,1,1,1,1,1,1
2681.858,46,0.086830502659294,1.48665971166265,8.59053214820604,7.53238274109299,18.6729047454912,1,1,1,1,1,1
2682.62,51,0.080978590419265,1.48096470274846,6.98802070950705,6.00916055334886,15.1078015527671,1,1,1,1,1,1
2682.7724,52,0.0850403876843378,1.4849028726475,6.91787918709005,6.02964569107961,15.0123566302272,1,1,1,1,1,1
2682.9248,53,0.089145195612268,1.48895095210168,6.86257509772538,6.06405686988332,14.948681394432,1,1,1,1,1,1
2683.0772,54,0.0905463324658503,1.49034874629714,6.8471789035807,6.07896687147937,14.9343316820749,1,1,1,1,1,1
2683.2296,55,0.0904399850019329,1.49024236325028,6.87598428804623,6.10236019904274,14.9956964078613,1,1,1,1,1,1
2683.382,56,0.103238758189878,1.50339739854203,7.52924203445733,6.97863161088116,16.6131032644115,1,1,1,1,1,1
2683.5344,57,0.0800363401868495,1.48006054080709,8.05289848950429,6.90331398068273,17.3948460250009,1,1,1,1,1,1
2683.6868,58,0.0769110889360171,1.47708655659128,8.25714129323441,7.00578277919057,17.7844140431912,1,1,1,1,1,1
2683.8392,59,0.0528177421918991,1.45537360786492,8.6241227940498,6.76803050648873,18.1592589768344,1,1,1,1,1,1
2685.9728,73,0.0541257896309104,1.45650008932431,9.44632445614495,7.44426267534123,19.9152284528872,1,1,1,1,1,1
2686.1252,74,0.0600453914179896,1.46167057792118,9.61769780290001,7.72443037921159,20.3903924640302,1,1,1,1,1,1
2686.2776,75,0.0629465702595783,1.46424891520937,9.6914498189311,7.85677649831355,20.6029866917513,1,1,1,1,1,1
2686.43,76,0.0686459895253868,1.46940148495764,9.82201824173407,8.11109525524476,20.9925208061486,1,1,1,1,1,1
2686.5824,77,0.068657370238347,1.46941189161473,9.98029792524802,8.24210901735992,21.3310378699816,1,1,1,1,1,1
2686.7348,78,0.0698980112519347,1.47054920649722,9.99900441449614,8.29099083274649,21.3958298751375,1,1,1,1,1,1
2687.8016,85,0.0674093444450723,1.46827350766224,9.39252087668972,7.72528981146014,20.0513291033481,1,1,1,1,1,1
2687.954,86,0.0691101158000066,1.46982627348618,9.36289592326198,7.74363869733363,20.019933489484,1,1,1,1,1,1
2688.1064,87,0.0630593166270523,1.46434971408592,9.45573657369885,7.66847708987683,20.1040177204835,1,1,1,1,1,1
2688.2588,88,0.0546366857106119,1.45694162870728,9.34275539729005,7.37466264168651,19.7064251752058,1,1,1,1,1,1
2688.4112,89,0.0531412744963773,1.45565169882258,9.29092840687783,7.29884683550065,19.5693203673478,1,1,1,1,1,1
2688.5636,90,0.0612678521005433,1.46275340033918,9.32048543858827,7.51523954444887,19.7830631238899,1,1,1,1,1,1
2688.716,91,0.0794643544815247,1.47951338443404,9.18732852565805,7.86092194724032,19.8347873127183,1,1,1,1,1,1
2688.8684,92,0.0699266590866355,1.47057553549867,8.40103707914528,6.96663621439049,17.9769870699057,1,1,1,1,1,1
2689.0208,93,0.0543412095413843,1.45668615778461,7.68944859428284,6.06390861138366,16.2146050632049,1,1,1,1,1,1
2689.1732,94,0.0558141575864391,1.45796260839793,7.2448849154404,5.74027905545336,15.2985041276128,1,1,1,1,1,1
2689.3256,95,0.054655555965033,1.45695795406476,7.01235537724587,5.53550527617596,14.7912391180273,1,1,1,1,1,1
2689.478,96,0.0521398372521638,1.45479204844626,6.94599795606447,5.43931772081749,14.6163223180951,1,1,1,1,1,1
2689.6304,97,0.0492736972079702,1.45235004757186,6.95672720474219,5.3983321507015,14.5990217491742,1,1,1,1,1,1
2689.7828,98,0.0544551326939585,1.45678462176998,7.33592113296463,5.78722089087925,15.4707993833853,1,1,1,1,1,1
2689.9352,99,0.0595826086852805,1.46126201775769,7.57521635933055,6.07497014549027,16.0531350227498,1,1,1,1,1,1
2690.0876,100,0.0660182114894049,1.46701127399082,8.03694963756169,6.5805639048183,17.1350693569279,1,1,1,1,1,1
2690.24,101,0.0612300825994655,1.46271986684448,8.39682334585776,6.76965396480095,17.8219230657955,1,1,1,1,1,1
2690.3924,102,0.0561073830196448,1.45821759340789,8.57093010303243,6.79730653683334,18.1036451223158,1,1,1,1,1,1
2690.5448,103,0.0706840779036592,1.47127274982865,8.58315236773339,7.13526186301175,18.3796891567065,1,1,1,1,1,1
2690.6972,104,0.0747008189747839,1.47500609763489,8.43539385920606,7.10521368903218,18.1310493777272,1,1,1,1,1,1
2690.8496,105,0.0696590546508248,1.4703297099098,8.06276670078039,6.68029345896823,17.2488228140538,1,1,1,1,1,1
2691.002,106,0.0618583271816045,1.46327830270611,7.53656489188385,6.08841438380172,16.0055283775828,1,1,1,1,1,1
2691.1544,107,0.0678798835137513,1.46870204014172,7.20685132705669,5.93666071231773,15.3921031112764,1,1,1,1,1,1
2691.3068,108,0.0759625445677243,1.47619142380524,7.03844180191211,5.95316888005955,15.1461995019544,1,1,1,1,1,1
2691.4592,109,0.080233868044742,1.48024979347474,6.99426424958353,5.99972266244353,15.1108822489093,1,1,1,1,1,1
2691.6116,110,0.0791554603776928,1.47921843368007,7.1329006939238,6.09687426706937,15.3950174643594,1,1,1,1,1,1
2691.764,111,0.0762444801933055,1.47645712200843,7.13064156645436,6.03674624276616,15.3486272522669,1,1,1,1,1,1
2691.9164,112,0.0669089409814955,1.46781866177238,7.08925585523698,5.8214012191022,15.1271809137155,1,1,1,1,1,1
2692.0688,113,0.0564408707296881,1.45850794541306,6.89592716443765,5.47475997174013,14.570278596174,1,1,1,1,1,1
2692.2212,114,0.067633586412378,1.46847763006376,6.84923755356201,5.63756096965953,14.6249521069995,1,1,1,1,1,1
